"id";"tweet";"date";"username"
"1131598855156490240";"new  referendum would be a mistake says british ambassador to italy jill morris tells an ansa forum that ";2019-05-23 16:32:45;"ansa_english"
"1131598822520643584";" britain demands  come out and show your support for  in today s election two men with a loudspeake ";2019-05-23 16:32:38;"Shy_Society"
"1131598808725557255";" have your  party offshore please antarctica comes to mind";2019-05-23 16:32:34;"raybrya"
"1131598805709840384";"self serving ignored the working class  vote give them two fingers as you leave work today ";2019-05-23 16:32:34;"GodHatesUK"
"1131598663619424256";"st barry threatened the uk with the back of the line in trade with the united states if it voted to leave the eu ";2019-05-23 16:32:00;"VoxQUINDARO"
"1131598641796399104";"how did you vote today  remain in scotland ";2019-05-23 16:31:54;"stephen501"
"1131598629393842177";"no one know what the f k is going on in this country really  ";2019-05-23 16:31:51;"DrSylviaMcLain"
"1131598627015680002";" back as uk election takes place fears rise again while china talks still stalled ";2019-05-23 16:31:51;"StockPages"
"1131598607214403584";"  betrayal bbcnews bbcnewsnight bbcqt bbctw bbcbias itvnews euelections2019 nodeal fbpe ";2019-05-23 16:31:46;"Dr_Drekkle"
"1131598569117507589";"always voted conservative in the few times i ve been able to vote but may s  betrayal has gone too far ";2019-05-23 16:31:37;"Matthew_F944"
"1131598543737823237";" i m keeping faith with our candidate who understands this about way more than  ";2019-05-23 16:31:31;"Sarah_C_Church"
"1131598535496011776";" truly disgraceful spent a week in turkey free of  almost want to return and be free from t ";2019-05-23 16:31:29;"implausibleblog"
"1131598511319990273";"shame on them but it will take far more than milk to stop  ";2019-05-23 16:31:23;"jf_hanley"
"1131598495973085184";" _uk good luck and all the other party candidates standing in your region the da ";2019-05-23 16:31:20;"Ash_Hirani"
"1131598469662167042";"we now know why he is not in favor of  leave ";2019-05-23 16:31:13;"suecresswell01"
"1131598432123142144";"vote for who ever you want lord buckethead is running for nigel farage s seat just go and vote euelections2019  lordbuckethead";2019-05-23 16:31:04;"ilyassaid"
"1131598396152778752";"could it be true that the liberal intelligentsia are in fact neither liberal nor intelligent ";2019-05-23 16:30:56;"WizThoughtful"
"1131598293535006721";"is banksy now using street art in edinburgh to promote a pro eu position banksy streetart  eu ";2019-05-23 16:30:31;"RussellImrie"
"1131598291802705920";"_may rejected perfect  deal for leave voters eu offered us free trade no surprises in this as ";2019-05-23 16:30:31;"BermudaBat"
"1131598237855621120";" isnt pursuit of  openly working against uk interests ";2019-05-23 16:30:18;"CommonSenseOnEU"
"1131598232109408256";" has been so awfully democratic so glad the uk government is respecting the will of the people ";2019-05-23 16:30:17;"CorlettNovis"
"1131598196600393730";" since bp ukip tories amp labour are all claiming to be pro  that shouldn t be too hard ";2019-05-23 16:30:08;"Foxgoose"
"1131598168158683136";"comedian has condemned the man who threw a milkshake at _farage claiming he was not demonstrat ";2019-05-23 16:30:02;"YahooCelebUK"
"1131598162962128897";"get up to date on how  may affect your collections ";2019-05-23 16:30:00;"Nat_SCA"
"1131598162446168064";"housing associations offer vital employment support read more at employment ";2019-05-23 16:30:00;"LandlordBB"
"1131598162404229126";"theresa may s fate could be decided on friday as minister resigns  bill delayed ";2019-05-23 16:30:00;"ExtraIRL"
"1131598122239569920";" notories haven t delivered  until they do my vote will go elsewhere";2019-05-23 16:29:51;"Curious992"
"1131597956585525248";" we have  and we have climateemergency can we just stop playing he said she said party politics ";2019-05-23 16:29:11;"Dave4Logic"
"1131597921168834561";"what on earth is going on and more importantly is this deliberate by govt contractors councils the uk govt se ";2019-05-23 16:29:03;"fionahtweet"
"1131597915380768768";" to all those with short memories if labour and gordon brown hadn t been so pusillanimous and obstinate ";2019-05-23 16:29:01;"asymetricjockey"
"1131597834527100933";"in this week s bulletin  views booked out businessbeyond with the confluence of ";2019-05-23 16:28:42;"BrIreCham"
"1131597771478376448";"the left is becoming an absolute joke little wonder the right are starting to prevail as the more respectable par ";2019-05-23 16:28:27;"D1NGER1978"
"1131597716792991745";" i voted  party today because i m sick of the nonsense apparently called our government ";2019-05-23 16:28:14;"racheldo112"
"1131597715312451585";"_martens no one in uk can vote for them anitdemocraticeu ";2019-05-23 16:28:14;"UKGoingGlobal"
"1131597678192857089";"how did you vote today  remain in england ";2019-05-23 16:28:05;"stephen501"
"1131597665341513728";"_sham brokenbritain revokearticle50 and stop brexshit stop equally we must be tough on the causes of ";2019-05-23 16:28:02;"tudorinjordan"
"1131597659805028355";"change it  shambles ";2019-05-23 16:28:00;"kingsamluke1990"
"1131597619531329536";"no honour in fraud that was a frauderendum peoplesvote to stop  ";2019-05-23 16:27:51;"TeachganAinm"
"1131597605698441216";" you re right not a chance the genie is out of the bottle farage has already shifted to new terms o ";2019-05-23 16:27:47;"DrJimboNHS"
"1131597553257123841";"the political chaos continues in the uk mps saying theresa may will step down within weeks watch  th ";2019-05-23 16:27:35;"etb1000"
"1131597511695708160";"richard whitby s film the lost ones confronts a post  nightmare where the voice of bureaucracy becomes a w ";2019-05-23 16:27:25;"FilmVidUmbrella"
"1131597507870580736";"today in the euelections2019 i voted euelectionispointless  ";2019-05-23 16:27:24;"DjkaiJones"
"1131597495153438720";" may i change that a little remainers take it easy put your feet up no point going out to vote ";2019-05-23 16:27:21;"jamesmfahy"
"1131597465457704962";"unmasked  rally thug is alt right lecturer stand up to racism ";2019-05-23 16:27:14;"LeicesterSWP"
"1131597462794379264";"come on twitterjury get voting and rt euelections2019 europeanelections europeanelection2019 ep2019  ";2019-05-23 16:27:13;"RealPaulMartin"
"1131597452228878337";"_may  withdrawal bill will never be presented to houseofcommons tomorrow or any day she should ";2019-05-23 16:27:11;"MsGenevieveMD"
"1131597381844254720";"just voted in the euelections2019 get out and do the same if you haven t already less than 5 hours remaining ";2019-05-23 16:26:54;"mythofechelon"
